# volume(Ang^3)   energy(eV)
      213.9765726588      -205.5258941650
      218.5292656941      -205.9252014160
      223.0819587294      -206.0902252197
      227.6346517647      -206.0482177734
      232.1873448000      -205.8224182129
      236.7400378353      -205.4326477051
      241.2927308706      -204.8956298828
