# Volume points
 213.97657    1.52155   1.46779   1.21510   0.79191   0.23377  -0.43497  -1.19670  -2.03825  -2.94954  -3.92264
 218.52927    1.07072   1.01114   0.74303   0.30059  -0.27887  -0.97008  -1.75497  -2.62014  -3.55534  -4.55255
 223.08196    0.85576   0.78992   0.50590   0.04373  -0.55744  -1.27150  -2.07991  -2.96900  -3.92842  -4.95004
 227.63465    0.84961   0.77710   0.47685  -0.00526  -0.62830  -1.36530  -2.19726  -3.11031  -4.09394  -5.13994
 232.18734    1.02913   0.95060   0.63538   0.13483  -0.50840  -1.26649  -2.12008  -3.05505  -4.06078  -5.12902
 236.74004    1.37456   1.28991   0.95960   0.44052  -0.22293  -1.00213  -1.87732  -2.83419  -3.86200  -4.95243
 241.29273    1.86912   1.77815   1.43245   0.89459   0.21071  -0.58978  -1.48674  -2.46567  -3.51571  -4.62849

# Fitted data
 213.97657    1.52134   1.46764   1.21505   0.79199   0.23398  -0.43463  -1.19620  -2.03760  -2.94874  -3.92167
 214.11315    1.50416   1.45028   1.19723   0.77357   0.21491  -0.45438  -1.21667  -2.05880  -2.97067  -3.94436
 214.24973    1.48722   1.43317   1.17964   0.75540   0.19608  -0.47391  -1.23691  -2.07976  -2.99237  -3.96680
 214.38632    1.47051   1.41628   1.16228   0.73745   0.17748  -0.49319  -1.25691  -2.10049  -3.01384  -3.98901
 214.52290    1.45404   1.39964   1.14516   0.71974   0.15912  -0.51225  -1.27668  -2.12099  -3.03507  -4.01099
 214.65948    1.43780   1.38322   1.12828   0.70226   0.14099  -0.53107  -1.29621  -2.14125  -3.05607  -4.03273
 214.79606    1.42179   1.36703   1.11162   0.68502   0.12309  -0.54966  -1.31551  -2.16128  -3.07683  -4.05423
 214.93264    1.40601   1.35108   1.09519   0.66800   0.10542  -0.56802  -1.33458  -2.18107  -3.09736  -4.07551
 215.06922    1.39047   1.33536   1.07900   0.65122   0.08798  -0.58614  -1.35342  -2.20064  -3.11766  -4.09655
 215.20580    1.37515   1.31986   1.06304   0.63466   0.07077  -0.60404  -1.37203  -2.21997  -3.13773  -4.11736
